Weeks,Cantidad de fallas mecanicas,Cantidad de vehiculos en operacion,Disponibilidad de la flota,Disponibilidad de talleres,Cantidad de plazas apartadas por mantenimiento,Cantidad de plazas sin asignacion de mantenimiento,Cantidad de repariones preventivas,Numero de veces que ocurre una falla mecanica,Reparacion de fallas mecanicas,Vehiculos asignados a operar,Vehiculos devueltos al deposito,Vehiculos que regresan de mantenimiento,Vehiculos que se retiran por mantenimiento
45,450.0,171.252,20.54,48.972,0.216,0.0,38.532,149.856,34.248000000000005,15.818000000000001,12.843,14.73,0.36
46,450.0,171.384,20.54,48.54,0.216,0.0,38.562,149.95399999999998,34.28,15.818000000000001,12.852,14.73,0.36
47,450.0,171.492,20.54,48.12,0.216,0.0,38.586,150.052,34.296,15.818000000000001,12.860999999999999,14.73,0.36
48,450.0,171.588,20.54,47.688,0.216,1.8269999999999997,38.60999999999999,150.14999999999998,34.32,15.807,12.870000000000001,14.73,0.36
49,450.0,171.684,20.54,50.388,0.216,0.0,38.62799999999999,150.22,34.336000000000006,15.807,12.879000000000001,14.73,0.36
50,450.0,171.76799999999997,20.54,49.956,0.216,0.0,38.645999999999994,150.29,34.352,15.807,12.879000000000001,14.73,0.36
51,450.0,171.83999999999997,20.54,49.536,0.216,0.0,38.663999999999994,150.35999999999999,34.368,15.807,12.888,14.73,0.36
52,450.0,171.9,20.53,49.104,0.216,0.0,38.675999999999995,150.416,34.384,15.807,12.897,14.73,0.36
53,450.0,171.96,20.53,48.672000000000004,0.216,0.0,38.693999999999996,150.472,34.392,15.807,12.897,14.73,0.36
54,450.0,172.01999999999998,20.53,48.24,0.216,0.0,38.706,150.514,34.4,15.807,12.897,14.73,0.36
55,450.0,172.06799999999998,20.53,47.808,0.216,1.099,38.711999999999996,150.556,34.416000000000004,15.807,12.906,14.73,0.36
56,450.0,172.10399999999998,20.53,49.26,0.216,0.0,38.724000000000004,150.59799999999998,34.424,15.807,12.906,14.73,0.36
57,450.0,172.14,20.53,48.827999999999996,0.216,0.0,38.73,150.626,34.432,15.807,12.915,14.73,0.36
58,450.0,172.176,20.53,48.408,0.216,0.0,38.742,150.654,34.432,15.807,12.915,14.73,0.36
59,450.0,172.212,20.53,47.97599999999999,0.216,0.161,38.748,150.682,34.44,15.807,12.915,14.73,0.36
60,450.0,172.236,20.53,47.82,0.216,1.0779999999999998,38.754,150.71,34.448,15.807,12.915,14.73,0.36
61,450.0,172.26000000000002,20.53,49.236,0.216,0.0,38.76,150.724,34.456,15.807,12.924,14.73,0.36
62,450.0,172.284,20.53,48.804,0.216,0.0,38.766,150.752,34.456,15.807,12.924,14.73,0.36
63,450.0,172.308,20.53,48.372,0.216,0.0,38.766,150.766,34.464,15.807,12.924,14.73,0.36
64,450.0,172.32,20.53,47.940000000000005,0.216,0.322,38.772,150.78,34.464,15.807,12.924,14.73,0.36
65,450.0,172.344,20.53,48.059999999999995,0.216,0.0,38.778,150.79399999999998,34.472,15.807,12.924,14.73,0.36
66,450.0,172.356,20.53,47.62799999999999,0.216,2.1489999999999996,38.778,150.808,34.472,15.807,12.924,14.73,0.36
67,450.0,172.36799999999997,20.53,50.879999999999995,0.216,0.0,38.784,150.822,34.472,15.807,12.924,14.73,0.36
68,450.0,172.38,20.53,50.459999999999994,0.216,0.0,38.784,150.83599999999998,34.480000000000004,15.807,12.933,14.73,0.36
69,450.0,172.392,20.53,50.028,0.216,0.0,38.79,150.83599999999998,34.480000000000004,15.807,12.933,14.73,0.36
70,450.0,172.40399999999997,20.53,49.596,0.216,0.0,38.79,150.85,34.480000000000004,15.807,12.933,14.73,0.36
71,450.0,172.40399999999997,20.53,49.163999999999994,0.216,0.0,38.79,150.864,34.480000000000004,15.807,12.933,14.73,0.36
72,450.0,172.416,20.53,48.732,0.216,0.0,38.796,150.864,34.480000000000004,15.807,12.933,14.73,0.36
73,450.0,172.428,20.53,48.3,0.216,0.0,38.796,150.864,34.488,15.807,12.933,14.73,0.36
74,450.0,172.428,20.53,47.868,0.216,0.77,38.796,150.878,34.488,15.807,12.933,14.73,0.36
75,450.0,172.43999999999997,20.53,48.756,0.216,0.0,38.796,150.878,34.488,15.807,12.933,14.73,0.36
76,450.0,172.43999999999997,20.53,48.324000000000005,0.216,0.0,38.802,150.892,34.488,15.807,12.933,14.73,0.36
77,450.0,172.43999999999997,20.53,47.891999999999996,0.216,0.616,38.802,150.892,34.488,15.807,12.933,14.73,0.36
78,450.0,172.452,20.53,48.516,0.216,0.0,38.802,150.892,34.488,15.807,12.933,14.73,0.36
79,450.0,172.452,20.53,48.083999999999996,0.216,0.0,38.802,150.892,34.488,15.807,12.933,14.73,0.36
80,450.0,172.452,20.53,47.652,0.216,2.009,38.802,150.892,34.488,15.807,12.933,14.73,0.36
81,450.0,172.464,20.53,50.663999999999994,0.216,0.0,38.802,150.906,34.488,15.807,12.933,14.73,0.36
82,450.0,172.464,20.53,50.232,0.216,0.0,38.802,150.906,34.496,15.807,12.933,14.73,0.36
83,450.0,172.464,20.53,49.812,0.216,0.0,38.802,150.906,34.496,15.807,12.933,14.73,0.36
84,450.0,172.464,20.53,49.379999999999995,0.216,0.0,38.802,150.906,34.496,15.807,12.933,14.73,0.36
85,450.0,172.464,20.53,48.948,0.216,0.0,38.808,150.906,34.496,15.807,12.933,14.73,0.36
86,450.0,172.464,20.53,48.516,0.216,0.0,38.808,150.906,34.496,15.807,12.933,14.73,0.36
87,450.0,172.47599999999997,20.53,48.083999999999996,0.216,0.0,38.808,150.906,34.496,15.807,12.933,14.73,0.36
88,450.0,172.47599999999997,20.53,47.652,0.216,2.037,38.808,150.92,34.496,15.807,12.933,14.73,0.36
89,450.0,172.47599999999997,20.53,50.711999999999996,0.216,0.0,38.808,150.92,34.496,15.807,12.933,14.73,0.36
90,450.0,172.47599999999997,20.53,50.279999999999994,0.216,0.0,38.808,150.92,34.496,15.807,12.933,14.73,0.36
91,450.0,172.47599999999997,20.53,49.848,0.216,0.0,38.808,150.92,34.496,15.807,12.933,14.73,0.36
92,450.0,172.47599999999997,20.53,49.416,0.216,0.0,38.808,150.92,34.496,15.807,12.933,14.73,0.36
93,450.0,172.47599999999997,20.53,48.995999999999995,0.216,0.0,38.808,150.92,34.496,15.807,12.933,14.73,0.36
94,450.0,172.47599999999997,20.53,48.564,0.216,0.0,38.808,150.92,34.496,15.807,12.933,14.73,0.36
95,450.0,172.47599999999997,20.53,48.132,0.216,0.0,38.808,150.92,34.496,15.807,12.933,14.73,0.36
96,450.0,172.47599999999997,20.53,47.699999999999996,0.216,1.7709999999999997,38.808,150.92,34.496,15.807,12.933,14.73,0.36
97,450.0,172.47599999999997,20.53,50.304,0.216,0.0,38.808,150.92,34.496,15.807,12.933,14.73,0.36
98,450.0,172.47599999999997,20.53,49.872,0.216,0.0,38.808,150.92,34.496,15.807,12.933,14.73,0.36
99,450.0,172.47599999999997,20.53,49.440000000000005,0.216,0.0,38.808,150.92,34.496,15.807,12.933,14.73,0.36
