Weeks,Cantidad de fallas mecanicas,Cantidad de vehiculos en operacion,Disponibilidad de la flota,Disponibilidad de talleres,Cantidad de plazas apartadas por mantenimiento,Cantidad de plazas sin asignacion de mantenimiento,Cantidad de repariones preventivas,Numero de veces que ocurre una falla mecanica,Reparacion de fallas mecanicas,Vehiculos asignados a operar,Vehiculos devueltos al deposito,Vehiculos que regresan de mantenimiento,Vehiculos que se retiran por mantenimiento
60,540.0,215.29500000000002,20.53,59.775000000000006,0.144,0.6160000000000001,25.836000000000002,183.005,21.53,20.118,8.61,14.73,0.36
61,540.0,215.32500000000002,20.53,61.545,0.144,0.0,25.84,183.022,21.535,20.118,8.616,14.73,0.36
62,540.0,215.355,20.53,61.005,0.144,0.0,25.844,183.056,21.535,20.118,8.616,14.73,0.36
63,540.0,215.385,20.53,60.465,0.144,0.0,25.844,183.07299999999998,21.54,20.118,8.616,14.73,0.36
64,540.0,215.39999999999998,20.53,59.925000000000004,0.144,0.18400000000000002,25.848000000000003,183.09,21.54,20.118,8.616,14.73,0.36
65,540.0,215.43,20.53,60.074999999999996,0.144,0.0,25.852,183.10699999999997,21.545,20.118,8.616,14.73,0.36
66,540.0,215.445,20.53,59.535,0.144,1.228,25.852,183.124,21.545,20.118,8.616,14.73,0.36
67,540.0,215.45999999999998,20.53,63.599999999999994,0.144,0.0,25.856,183.141,21.545,20.118,8.616,14.73,0.36
68,540.0,215.47500000000002,20.53,63.074999999999996,0.144,0.0,25.856,183.158,21.55,20.118,8.622,14.73,0.36
69,540.0,215.49,20.53,62.535,0.144,0.0,25.860000000000003,183.158,21.55,20.118,8.622,14.73,0.36
70,540.0,215.505,20.53,61.995,0.144,0.0,25.860000000000003,183.17499999999998,21.55,20.118,8.622,14.73,0.36
71,540.0,215.505,20.53,61.455,0.144,0.0,25.860000000000003,183.192,21.55,20.118,8.622,14.73,0.36
72,540.0,215.52,20.53,60.915,0.144,0.0,25.864,183.192,21.55,20.118,8.622,14.73,0.36
73,540.0,215.535,20.53,60.375,0.144,0.0,25.864,183.192,21.555,20.118,8.622,14.73,0.36
74,540.0,215.535,20.53,59.835,0.144,0.44000000000000006,25.864,183.20899999999997,21.555,20.118,8.622,14.73,0.36
75,540.0,215.54999999999998,20.53,60.94500000000001,0.144,0.0,25.864,183.20899999999997,21.555,20.118,8.622,14.73,0.36
76,540.0,215.54999999999998,20.53,60.405,0.144,0.0,25.868000000000002,183.226,21.555,20.118,8.622,14.73,0.36
77,540.0,215.54999999999998,20.53,59.864999999999995,0.144,0.35200000000000004,25.868000000000002,183.226,21.555,20.118,8.622,14.73,0.36
78,540.0,215.565,20.53,60.644999999999996,0.144,0.0,25.868000000000002,183.226,21.555,20.118,8.622,14.73,0.36
79,540.0,215.565,20.53,60.105000000000004,0.144,0.0,25.868000000000002,183.226,21.555,20.118,8.622,14.73,0.36
80,540.0,215.565,20.53,59.565,0.144,1.1480000000000001,25.868000000000002,183.226,21.555,20.118,8.622,14.73,0.36
81,540.0,215.57999999999998,20.53,63.33,0.144,0.0,25.868000000000002,183.243,21.555,20.118,8.622,14.73,0.36
82,540.0,215.57999999999998,20.53,62.79,0.144,0.0,25.868000000000002,183.243,21.56,20.118,8.622,14.73,0.36
83,540.0,215.57999999999998,20.53,62.265,0.144,0.0,25.868000000000002,183.243,21.56,20.118,8.622,14.73,0.36
84,540.0,215.57999999999998,20.53,61.724999999999994,0.144,0.0,25.868000000000002,183.243,21.56,20.118,8.622,14.73,0.36
85,540.0,215.57999999999998,20.53,61.185,0.144,0.0,25.872000000000003,183.243,21.56,20.118,8.622,14.73,0.36
86,540.0,215.57999999999998,20.53,60.644999999999996,0.144,0.0,25.872000000000003,183.243,21.56,20.118,8.622,14.73,0.36
87,540.0,215.59499999999997,20.53,60.105000000000004,0.144,0.0,25.872000000000003,183.243,21.56,20.118,8.622,14.73,0.36
88,540.0,215.59499999999997,20.53,59.565,0.144,1.1640000000000001,25.872000000000003,183.26,21.56,20.118,8.622,14.73,0.36
89,540.0,215.59499999999997,20.53,63.39,0.144,0.0,25.872000000000003,183.26,21.56,20.118,8.622,14.73,0.36
90,540.0,215.59499999999997,20.53,62.849999999999994,0.144,0.0,25.872000000000003,183.26,21.56,20.118,8.622,14.73,0.36
91,540.0,215.59499999999997,20.53,62.31,0.144,0.0,25.872000000000003,183.26,21.56,20.118,8.622,14.73,0.36
92,540.0,215.59499999999997,20.53,61.769999999999996,0.144,0.0,25.872000000000003,183.26,21.56,20.118,8.622,14.73,0.36
93,540.0,215.59499999999997,20.53,61.245,0.144,0.0,25.872000000000003,183.26,21.56,20.118,8.622,14.73,0.36
94,540.0,215.59499999999997,20.53,60.705,0.144,0.0,25.872000000000003,183.26,21.56,20.118,8.622,14.73,0.36
95,540.0,215.59499999999997,20.53,60.165,0.144,0.0,25.872000000000003,183.26,21.56,20.118,8.622,14.73,0.36
96,540.0,215.59499999999997,20.53,59.625,0.144,1.012,25.872000000000003,183.26,21.56,20.118,8.622,14.73,0.36
97,540.0,215.59499999999997,20.53,62.88,0.144,0.0,25.872000000000003,183.26,21.56,20.118,8.622,14.73,0.36
98,540.0,215.59499999999997,20.53,62.34,0.144,0.0,25.872000000000003,183.26,21.56,20.118,8.622,14.73,0.36
99,540.0,215.59499999999997,20.53,61.800000000000004,0.144,0.0,25.872000000000003,183.26,21.56,20.118,8.622,14.73,0.36
